epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92849,1.4383,3.82536,1.52125,0.01563,0.61183,0.15617,0.12099,1.52107,3.80356,1.54397,8.888e-05,8.888e-05,8.888e-05
2,8.83589,1.36157,3.22259,1.37462,0.01611,0.65154,0.18186,0.13355,1.4044,3.65223,1.40336,0.000182637,0.000182637,0.000182637
3,11.5735,1.3831,2.4934,1.34566,0.16908,0.71127,0.29088,0.19715,1.41312,3.38974,1.35195,0.000269795,0.000269795,0.000269795
4,14.4318,1.39138,2.02891,1.37248,0.92271,0.13503,0.45483,0.29389,1.51814,3.18066,1.41151,0.000350354,0.000350354,0.000350354
5,18.8754,1.41902,1.86611,1.35936,0.64453,0.33555,0.53691,0.33298,1.63069,2.51117,1.42769,0.000424313,0.000424313,0.000424313
6,21.9406,1.39281,1.59152,1.33216,0.77792,0.50167,0.61304,0.40629,1.69079,2.28235,1.49302,0.000491673,0.000491673,0.000491673
7,24.768,1.36545,1.56295,1.33279,0.75677,0.43164,0.54596,0.37547,1.64037,2.30969,1.45158,0.000552434,0.000552434,0.000552434
8,27.6059,1.28529,1.36748,1.29636,0.69639,0.6156,0.65718,0.39813,1.64128,2.34626,1.48277,0.000606595,0.000606595,0.000606595
9,31.1753,1.34611,1.38242,1.31448,0.62999,0.47859,0.58879,0.37683,1.53738,2.65485,1.47373,0.000654157,0.000654157,0.000654157
10,34.7866,1.32308,1.46899,1.33177,0.56477,0.49146,0.53025,0.34511,1.56912,2.70906,1.53113,0.000695119,0.000695119,0.000695119
11,37.8853,1.26131,1.26083,1.30596,0.60332,0.60007,0.58219,0.38951,1.58987,2.40199,1.50417,0.000729483,0.000729483,0.000729483
12,40.6878,1.30638,1.27271,1.25664,0.64007,0.59954,0.66796,0.41708,1.66181,2.00467,1.53493,0.000707707,0.000707707,0.000707707
13,44.894,1.3174,1.28654,1.29426,0.71273,0.68858,0.7706,0.48396,1.64315,1.58011,1.53986,0.000671044,0.000671044,0.000671044
14,48.9296,1.27496,1.22582,1.28066,0.76654,0.69161,0.76562,0.49399,1.63254,1.54965,1.51566,0.000634381,0.000634381,0.000634381
15,51.7908,1.27656,1.23029,1.27177,0.72951,0.73094,0.7949,0.5094,1.61543,1.71741,1.50848,0.000597718,0.000597718,0.000597718
16,54.5853,1.2529,1.17495,1.27737,0.67904,0.66752,0.76027,0.46295,1.62362,1.82427,1.54146,0.000561055,0.000561055,0.000561055
17,57.42,1.29853,1.19924,1.25688,0.86744,0.66918,0.79613,0.49651,1.61149,1.46022,1.54878,0.000524392,0.000524392,0.000524392
18,61.5998,1.29456,1.13957,1.2782,0.8416,0.65882,0.79257,0.51247,1.60761,1.37892,1.52806,0.000487729,0.000487729,0.000487729
19,64.6346,1.25777,1.09053,1.25035,0.72464,0.77627,0.80007,0.53921,1.57768,1.3282,1.49153,0.000451066,0.000451066,0.000451066
20,67.3934,1.19499,1.04178,1.22497,0.82411,0.727,0.81334,0.54829,1.63059,1.24778,1.49861,0.000414403,0.000414403,0.000414403
21,72.0889,1.17522,1.21585,1.26196,0.8601,0.73074,0.82438,0.55137,1.62413,1.25915,1.4858,0.00037774,0.00037774,0.00037774
22,76.3285,1.15659,1.16603,1.21727,0.8799,0.68583,0.82851,0.53521,1.6464,1.36405,1.48656,0.000341077,0.000341077,0.000341077
23,79.1618,1.16638,1.16982,1.20849,0.90213,0.65888,0.81174,0.53484,1.65424,1.33986,1.50322,0.000304414,0.000304414,0.000304414
24,81.8084,1.13476,1.11467,1.17049,0.86719,0.69728,0.80826,0.54434,1.64177,1.24244,1.48373,0.000267751,0.000267751,0.000267751
25,84.388,1.14127,1.05845,1.19128,0.86264,0.69575,0.8241,0.56184,1.6145,1.19566,1.4741,0.000231088,0.000231088,0.000231088
26,87.5414,1.12232,1.02178,1.16313,0.89305,0.69515,0.8343,0.56601,1.58521,1.15643,1.45958,0.000194425,0.000194425,0.000194425
27,91.2947,1.09366,1.05346,1.1937,0.82436,0.743,0.84816,0.57338,1.58145,1.16424,1.45379,0.000157762,0.000157762,0.000157762
28,93.8878,1.07446,0.9905,1.16771,0.82949,0.75087,0.85485,0.57805,1.56852,1.10123,1.45365,0.000121099,0.000121099,0.000121099
29,96.4856,1.09207,0.99966,1.19336,0.83971,0.73864,0.86302,0.57714,1.53975,1.10549,1.42877,8.4436e-05,8.4436e-05,8.4436e-05
30,99.1101,1.09043,0.98045,1.17066,0.82852,0.73182,0.85887,0.57402,1.53609,1.11005,1.42186,4.7773e-05,4.7773e-05,4.7773e-05
